community;PageRank;pr_features_counting;ts_features_counting;TotalSet
151;rina=baixo,support nsf=baixo;2;4;scienc univers=baixo,undirect=baixo,undirect graph=baixo,univers california=baixo
151;rina=baixo,undirect graph=baixo;2;4;instanti=baixo,scienc univers=baixo,undirect graph=baixo,univers california=baixo
151;inform comput=baixo,rina=baixo;2;3;inform comput=baixo,support nsf=baixo,undirect=baixo
151;direct acycl graph=baixo,rina=baixo;2;3;irvin=baixo,scienc univers=baixo,undirect graph=baixo
151;repres=baixo,rina=baixo;2;3;instanti=baixo,irvin=baixo,undirect graph=baixo
151;constraint=alto,rina=baixo;2;2;irvin=baixo,support nsf=baixo
151;graphic model=alto,rina=baixo;2;2;darwich=baixo,graphic model=alto
151;evid=baixo,rina=baixo;2;2;graphic model=alto,scope=alto
151;nsf grant=baixo,rina=baixo;2;2;dechter=alto,network repres=baixo
151;rina=baixo,simpl=baixo;2;2;dechter=alto,signific=baixo
151;assign=alto,rina=baixo;2;3;graphic model=alto,undirect graph=baixo,univers california=baixo
151;order=alto,rina=baixo;2;2;complet=baixo,dechter=alto
151;acycl graph=baixo,rina=baixo;2;3;graphic model=alto,instanti=baixo,undirect graph=baixo
151;rina=baixo,satisfact problem=baixo;2;2;dechter=alto,instanti=baixo
151;dechter=alto,requir=baixo;2;2;dechter=alto,paramet=baixo
151;random=alto,rina=baixo;2;3;graphic model=alto,instanti=baixo,nsf grant=baixo
151;constraint satisfact=baixo,rina=baixo;2;3;signific=baixo,support nsf=baixo,undirect=baixo
151;program=baixo,rina=baixo;2;2;dechter=alto,empir=baixo
151;rina=baixo,signific=baixo,various=baixo;3;3;final=baixo,irvin=baixo,undirect graph=baixo
151;graphic model=alto,nsf grant=baixo,requir=baixo;3;2;dechter=alto,input=baixo
