community;PageRank;pr_features_counting;ts_features_counting;TotalSet
145;alberta=baixo,independ=baixo,variabl=baixo;3;3;alberta=baixo,idea=baixo,proceed intern confer=baixo
145;alberta=baixo,larger=baixo,scienc univers=baixo;3;3;alberta=baixo,idea=baixo,random variabl=baixo
145;independ=baixo,scienc univers=baixo,univers alberta=baixo;3;3;alberta=baixo,expect=baixo,proceed intern confer=baixo
145;alberta=baixo,independ=baixo,scienc univers=baixo;3;4;alberta=baixo,idea=baixo,proceed intern confer=baixo,univers alberta=baixo
145;element=baixo,respect=baixo,univers alberta=baixo;3;3;alberta=baixo,idea=baixo,rate=baixo
145;element=baixo,independ=baixo,univers alberta=baixo;3;4;alberta=baixo,idea=baixo,random variabl=baixo,size=baixo
145;alberta=baixo,larger=baixo,variabl=baixo;3;3;idea=baixo,ident=baixo,univers alberta=baixo
145;larger=baixo,scienc univers=baixo,univers alberta=baixo;3;2;alberta=baixo,technolog=baixo
145;alberta=baixo,confer machin=baixo,introduc=baixo;3;3;alberta=baixo,left=baixo,random variabl=baixo
145;alberta=baixo,respect=baixo,variabl=baixo;3;4;alberta=baixo,random variabl=baixo,respect=baixo,size=baixo
145;alberta=baixo,introduc=baixo,matrix=baixo;3;3;idea=baixo,later=baixo,univers alberta=baixo
145;factor=baixo,independ=baixo,univers alberta=baixo;3;3;nserc=baixo,size=baixo,univers alberta=alto
145;alberta=baixo,independ=baixo,matrix=baixo;3;3;expect valu=baixo,nserc=baixo,peter=baixo
145;alberta=baixo,introduc=baixo,select=baixo;3;3;alberta=baixo,nserc=baixo,proceed intern confer=baixo
145;alberta=baixo,factor=baixo,independ=baixo;3;3;nserc=baixo,proceed intern confer=baixo,size=baixo
145;alberta=baixo,introduc=baixo,proof theorem=baixo;3;3;alberta=baixo,proceed intern confer=baixo,size=baixo
145;factor=baixo,larger=baixo,univers alberta=baixo;3;4;expect=baixo,expect valu=baixo,nserc=baixo,size=baixo
145;element=baixo,introduc=baixo,univers alberta=baixo;3;3;alberta=baixo,idea=baixo,open=baixo
145;alberta=baixo,larger=baixo,matrix=baixo;3;3;minim=baixo,open=baixo,univers alberta=baixo
145;alberta=baixo,introduc=baixo,notat=baixo;3;3;left=baixo,random variabl=baixo,univers alberta=baixo
