community;PageRank;pr_features_counting;ts_features_counting;TotalSet
156;california los=alto,causal=alto;2;2;causal=alto,univers california los=alto
156;angel=alto,causal=alto,identifi=alto;3;3;effect=alto,pearl=alto,unobserv=alto
156;california los angel=alto,identifi=alto;2;2;california los=alto,effect=alto
156;california los angel=alto,judea=alto;2;3;arrow=alto,causal=alto,pearl=alto
156;california los=alto,effect=alto;2;3;depart=alto,pearl=alto,treatment=alto
156;suffici=alto,ucla=alto;2;2;california los=alto,judea=alto
156;character=alto,write=alto;2;2;causal model=alto,probabilist reason=medio
156;cambridg univers=alto,judea=alto;2;2;intervent=alto,pearl=alto
156;california=alto,causal model=alto;2;3;arrow=alto,causal model=alto,pearl=alto
156;angel=alto,identifi=alto,suffici=alto;3;3;causal=alto,diagram=alto,unobserv=alto
156;independ=alto,ucla=alto;2;2;california los=alto,judea pearl=medio
156;california los=alto,judea pearl=medio;2;2;intervent=alto,treatment=alto
156;california los=alto,conclus=alto;2;2;induc=alto,unobserv=alto
156;graphic=alto,model reason=alto;2;2;causal model=alto,induc=alto
156;judea=alto,judea pearl=medio;2;2;pearl causal=alto,unobserv=alto
156;effect=alto,judea pearl=medio;2;2;diagram=alto,pearl causal=alto
156;angel=alto,california=alto,shown=alto;3;2;arrow=alto,unobserv=alto
156;california los=alto,state=medio;2;2;causal model=alto,pearl probabilist=alto
156;character=alto,effect=alto,graphic=alto;3;2;causal=alto,ucla=alto
156;california=alto,los angel=alto,scienc depart=alto;3;2;induc=alto,pearl causal=alto
