community;PageRank;TotalSet;rulesIntersection;onlyOnPageRank;onlyOnTotalSet
80;final=baixo,moreov=alto,univers california los=baixo;addit=baixo,pittsburgh=alto;cpt=baixo,univers california los=baixo;resourc=baixo,scienc depart univers=baixo,similar=baixo;belief network=baixo,pittsburgh=alto
80;infer belief=baixo,judea=baixo;pearl=baixo,pittsburgh=alto;;kaufmann publish=alto,simplifi=baixo;independ=baixo,pearl=baixo,plausibl=baixo,publish=alto
80;california los angel=baixo,network node=baixo;depend=baixo,pittsburgh=alto;;causal independ=baixo,depart univers=baixo;discret=baixo,pittsburgh=alto
80;adnan=baixo,moreov=alto;cpt=baixo,univers california los=baixo;;infer belief=baixo,judea=baixo;addit=baixo,pittsburgh=alto
80;cpt=baixo,univers california los=baixo;pittsburgh=alto,step=baixo;;dechter=baixo,los=baixo;pittsburgh=alto,step=baixo
80;dechter=baixo,scienc depart univers=baixo,univers california los=baixo;connect=baixo,pittsburgh=alto;;final=baixo,moreov=alto,univers california los=baixo;depend=baixo,pittsburgh=alto
80;kaufmann publish inc.=alto;independ=baixo,pearl=baixo,plausibl=baixo,publish=alto;;depart univers=baixo,network structur=baixo;kaufmann publish inc.=baixo,pittsburgh=alto
80;publish inc.=alto;anonym=baixo,observ=baixo,pittsburgh=alto;;infer bayesian=baixo,los angel=baixo,moreov=alto;instead=baixo,pittsburgh=alto
80;infer bayesian network=baixo,los=baixo,network node=baixo;california los=baixo,network node=baixo;;california los angel=baixo,network node=baixo;pearl=baixo,pittsburgh=alto
80;california los angel=baixo,comput probabl=baixo;kaufmann publish inc.=baixo,pittsburgh=alto;;publish inc.=alto;anonym=baixo,observ=baixo,pittsburgh=alto
80;dechter=baixo,los=baixo;depart=baixo,pittsburgh=alto;;dechter=baixo,scienc depart univers=baixo,univers california los=baixo;let=baixo,pittsburgh=alto
80;resourc=baixo,scienc depart univers=baixo,similar=baixo;belief network=baixo,pittsburgh=alto;;infer bayesian network=baixo,los=baixo,network node=baixo;connect=baixo,pittsburgh=alto
80;causal independ=baixo,depart univers=baixo;instead=baixo,pittsburgh=alto;;california los angel=baixo,comput probabl=baixo;contribut=baixo,pittsburgh=alto
80;california los angel=baixo,final=baixo,lead=alto;conclus=baixo,pittsburgh=alto;;pittsburgh=alto,similar=baixo;california los=baixo,network node=baixo
80;kaufmann publish=alto,simplifi=baixo;discret=baixo,pittsburgh=alto;;cpts=baixo,depart univers=baixo;california los=baixo,pearl=baixo,plausibl=baixo
80;infer bayesian=baixo,los angel=baixo,moreov=alto;let=baixo,pittsburgh=alto;;adnan=baixo,moreov=alto;conclus=baixo,pittsburgh=alto
80;cpts=baixo,depart univers=baixo;observ=baixo,pittsburgh=alto,plausibl=baixo;;california los angel=baixo,final=baixo,lead=alto;observ=baixo,pittsburgh=alto,plausibl=baixo
80;infer bayesian network=baixo,los=baixo,scienc depart univers=baixo;independ=baixo,pittsburgh=alto,plausibl=baixo;;infer bayesian network=baixo,los=baixo,scienc depart univers=baixo;independ=baixo,pittsburgh=alto,plausibl=baixo
80;pittsburgh=alto,similar=baixo;contribut=baixo,pittsburgh=alto;;kaufmann publish inc.=alto;depart=baixo,pittsburgh=alto
80;depart univers=baixo,network structur=baixo;california los=baixo,pearl=baixo,plausibl=baixo;;;
