caracteristicasPageRank;freqWordPageRank;caracteristicasTotalSet;freqWordTotalSet
pool=alto;7;univers british=alto;9.0
british columbia=alto;3;columbia=alto;4.0
zhang=alto;3;univers british columbia=alto;4.0
structur=baixo;2;choos=alto;2.0
vancouv=medio;2;canada=alto;2.0
littman=alto;2;lead=medio;2.0
univers british columbia=medio;2;conclus=medio;2.0
optim polici=medio;1;obtain=alto;2.0
upper bound=baixo;1;british=alto;1.0
conclus=baixo;1;vancouv canada=medio;1.0
columbia=medio;1;cost=medio;1.0
lead=medio;1;infer=baixo;1.0
carri=alto;1;associ=baixo;1.0
comput scienc univers=alto;1;shown=alto;1.0
group=baixo;1;respect=medio;1.0
univers british=alto;1;larg=alto;1.0
vancouv canada=medio;1;space=alto;1.0
british=alto;1;freita=alto;1.0
choos=alto;1;;
columbia=alto;1;;
similar=baixo;1;;
research=baixo;1;;
lang=alto;1;;
approxim=baixo;1;;
state=alto;1;;
