community;PageRank;TotalSet;rulesIntersection;onlyOnPageRank;onlyOnTotalSet
156;causal=alto,judea pearl=baixo,scienc depart=baixo;model reason infer=baixo,pearl=alto;california los=alto;causal=alto,depart univers=baixo;nsf=baixo,pearl=alto,valid=baixo
156;california los=alto;nsf=baixo,pearl=alto,probabilist=baixo;california los angel=alto;languag=baixo,school comput scienc=baixo;pearl=alto,predict search=baixo,reason intellig=baixo
156;california los angel=alto;fact=baixo,nsf=baixo,pearl=alto;univers california los=alto;causal=alto,path=alto,scienc depart=baixo;judea pearl=baixo,nsf=baixo
156;causal=alto,cognit=baixo,scienc depart=baixo;nsf=baixo,pearl=alto,valid=baixo;;school comput scienc=baixo,variat=alto;assign=baixo,nsf=baixo,pearl=alto
156;causal=alto,judea pearl=baixo,path=alto;assign=baixo,nsf=baixo,pearl=alto;;criterion=alto,pearl=alto;encod=baixo,model reason infer=baixo
156;devis=baixo,pearl=alto,scienc depart=baixo;california los=alto;;judea pearl=baixo,mere=baixo;nsf=baixo,pearl=alto,predict search=baixo
156;causal=alto,cognit=baixo,judea pearl=baixo,pearl=alto;california los angel=alto;;causal=alto,judea pearl=baixo,scienc depart=baixo;joint probabl=baixo,schein causat predict=baixo
156;univers california los=alto;encod=baixo,model reason infer=baixo;;causal=alto,cognit=baixo,scienc depart=baixo;nsf=baixo,pearl=alto,probabilist=baixo
156;causal=alto,depart univers=baixo;model reason infer=baixo,research support=baixo;;devis=baixo,pearl=alto,scienc depart=baixo;model reason infer=baixo,research support=baixo
156;los=alto,pearl=alto;judea pearl=baixo,nsf=baixo;;agreement=baixo,school comput scienc=baixo;judea=baixo,reason infer cambridg=baixo
156;judea pearl=baixo,mere=baixo;nsf=baixo,pearl=alto,predict search=baixo;;causal=alto,criterion=alto;treatment=alto,unobserv=alto
156;languag=baixo,school comput scienc=baixo;univers california los=alto;;causal=alto,devis=baixo,scienc depart=baixo;fact=baixo,nsf=baixo,pearl=alto
156;accuraci=baixo,school comput scienc=baixo;joint probabl=baixo,schein causat predict=baixo;;govern=baixo,pearl=alto,scienc depart=baixo;model reason infer=baixo,pearl=alto
156;agreement=baixo,school comput scienc=baixo;treatment=alto,unobserv=alto;;causal=alto,cognit=baixo,judea pearl=baixo,pearl=alto;pearl=alto,predict search=baixo,subgraph=baixo
156;causal=alto,criterion=alto;pearl=alto,predict search=baixo,subgraph=baixo;;los=alto,pearl=alto;nsf=baixo,pearl=alto,research support=baixo
156;causal=alto,devis=baixo,scienc depart=baixo;nsf=baixo,pearl=alto,research support=baixo;;accuraci=baixo,school comput scienc=baixo;fact=baixo,pearl=alto,predict search=baixo
156;criterion=alto,pearl=alto;lemma=baixo,pearl=alto,schein causat predict=baixo;;causal=alto,judea pearl=baixo,path=alto;lemma=baixo,pearl=alto,schein causat predict=baixo
156;school comput scienc=baixo,variat=alto;pearl=alto,predict search=baixo,reason intellig=baixo;;;
156;causal=alto,path=alto,scienc depart=baixo;fact=baixo,pearl=alto,predict search=baixo;;;
156;govern=baixo,pearl=alto,scienc depart=baixo;judea=baixo,reason infer cambridg=baixo;;;
