caracteristicasPageRank;freqWordPageRank;caracteristicasTotalSet;freqWordTotalSet
pool=alto;1;conclus=baixo;1.0
vancouv=baixo;1;requir=baixo;1.0
univers british columbia=baixo;1;univers british columbia=baixo;1.0
canada=baixo;1;equal=baixo;1.0
david=baixo;1;british columbia=baixo;1.0
depart comput=baixo;1;particular=baixo;1.0
columbia vancouv=baixo;1;proceed=baixo;1.0
publish=baixo;1;combin=baixo;1.0
david pool=baixo;1;data=baixo;1.0
empti=baixo;1;columbia=baixo;1.0
issu=baixo;1;time=baixo;1.0
fact=baixo;1;british=baixo;1.0
author=baixo;1;let=baixo;1.0
come=baixo;1;pool=alto;1.0
map=baixo;1;vancouv=baixo;1.0
zhang=alto;1;vancouv canada=baixo;1.0
describ=baixo;1;british columbia vancouv=baixo;1.0
independ=baixo;1;order=baixo;1.0
graph=baixo;1;assum=baixo;1.0
final=baixo;1;step=baixo;1.0
moreov=alto;1;issu=baixo;1.0
univers california los=baixo;1;canada=baixo;1.0
infer belief=baixo;1;posterior=baixo;1.0
judea=baixo;1;addit=baixo;1.0
california los angel=baixo;1;pittsburgh=alto;1.0
network node=baixo;1;pearl=baixo;1.0
adnan=baixo;1;depend=baixo;1.0
cpt=baixo;1;cpt=baixo;1.0
dechter=baixo;1;univers california los=baixo;1.0
scienc depart univers=baixo;1;connect=baixo;1.0
kaufmann publish inc.=alto;1;independ=baixo;1.0
publish inc.=alto;1;plausibl=baixo;1.0
infer bayesian network=baixo;1;publish=alto;1.0
los=baixo;1;anonym=baixo;1.0
comput probabl=baixo;1;observ=baixo;1.0
resourc=baixo;1;california los=baixo;1.0
similar=baixo;1;network node=baixo;1.0
causal independ=baixo;1;kaufmann publish inc.=baixo;1.0
depart univers=baixo;1;depart=baixo;1.0
lead=alto;1;belief network=baixo;1.0
kaufmann publish=alto;1;instead=baixo;1.0
simplifi=baixo;1;discret=baixo;1.0
infer bayesian=baixo;1;contribut=baixo;1.0
los angel=baixo;1;daphn koller=baixo;1.0
cpts=baixo;1;effect=baixo;1.0
pittsburgh=alto;1;stanford univers=baixo;1.0
network structur=baixo;1;stanford=baixo;1.0
daphn koller=baixo;1;koller=alto;1.0
test=baixo;1;program=baixo;1.0
main=baixo;1;partit=baixo;1.0
standard=alto;1;befor=baixo;1.0
idea=baixo;1;natur=baixo;1.0
exist=baixo;1;daphn=baixo;1.0
optim=baixo;1;easili=baixo;1.0
constraint=baixo;1;task=baixo;1.0
success=baixo;1;success=baixo;1.0
koller=alto;1;reduc=baixo;1.0
stanford=baixo;1;standard=alto;1.0
furthermor=baixo;1;simpl=alto;1.0
constant=baixo;1;darpa=baixo;1.0
mention=baixo;1;fuzzi=alto;1.0
grow=baixo;1;foundat=baixo;1.0
random variabl=baixo;1;fuzzi set=baixo;1.0
updat=baixo;1;intellig=baixo;1.0
daphn=baixo;1;justifi=baixo;1.0
algorithm use=baixo;1;vol=baixo;1.0
allow=alto;1;denot=baixo;1.0
basic=baixo;1;context=baixo;1.0
fuzzi=alto;1;lang=baixo;1.0
foundat=baixo;1;world=baixo;1.0
fuzzi set=baixo;1;knowledg base=baixo;1.0
rout=baixo;1;prade=alto;1.0
establish=baixo;1;estim=baixo;1.0
inconsist=baixo;1;min max=baixo;1.0
ed=alto;1;way=alto;1.0
possibl distribut=baixo;1;inform=alto;1.0
necess=baixo;1;imprecis=baixo;1.0
conclus=baixo;1;max=alto;1.0
solut=baixo;1;academ=alto;1.0
previous=baixo;1;decomposit=baixo;1.0
vol=baixo;1;look=alto;1.0
form=baixo;1;confer artifici intellig=alto;1.0
degre=alto;1;improv=alto;1.0
lang=baixo;1;increas=alto;1.0
total order=baixo;1;control=alto;1.0
look=alto;1;search algorithm=baixo;1.0
capabl=baixo;1;joint confer artifici=alto;1.0
fuzzi=baixo;1;confer=alto;1.0
inform=alto;1;confer artifici=alto;1.0
optim solut=alto;1;set action=baixo;1.0
program=alto;1;mechan=baixo;1.0
expand=alto;1;optim solut=alto;1.0
know=baixo;1;fraction=baixo;1.0
correct=baixo;1;joint confer=alto;1.0
intern joint confer=alto;1;limit=alto;1.0
state=alto;1;select=alto;1.0
chang=baixo;1;grow=alto;1.0
mechan=baixo;1;cours=baixo;1.0
task=baixo;1;experi=alto;1.0
total=baixo;1;method=alto;1.0
confer=alto;1;optim=alto;1.0
state onli=alto;1;alberta=baixo;1.0
