community;PageRank;pr_features_counting;ts_features_counting;TotalSet
6;pool=alto,vancouv=baixo;2;3;conclus=baixo,requir=baixo,univers british columbia=baixo
6;pool=alto,univers british columbia=baixo;2;3;conclus=baixo,equal=baixo,univers british columbia=baixo
6;canada=baixo,pool=alto;2;4;british columbia=baixo,particular=baixo,proceed=baixo,univers british columbia=baixo
6;david=baixo,depart comput=baixo,pool=alto;3;3;combin=baixo,data=baixo,univers british columbia=baixo
6;columbia vancouv=baixo,pool=alto;2;4;columbia=baixo,data=baixo,particular=baixo,univers british columbia=baixo
6;pool=alto,publish=baixo;2;3;british columbia=baixo,data=baixo,time=baixo
6;david pool=baixo,pool=alto;2;4;british=baixo,data=baixo,let=baixo,univers british columbia=baixo
6;publish=baixo,univers british columbia=baixo,vancouv=baixo;3;2;pool=alto,vancouv=baixo
6;empti=baixo,pool=alto;2;3;data=baixo,univers british columbia=baixo,vancouv=baixo
6;issu=baixo,univers british columbia=baixo;2;3;equal=baixo,univers british columbia=baixo,vancouv canada=baixo
6;columbia vancouv=baixo,issu=baixo;2;3;british columbia vancouv=baixo,conclus=baixo,vancouv canada=baixo
6;canada=baixo,columbia vancouv=baixo,fact=baixo,vancouv=baixo;4;4;british=baixo,british columbia=baixo,proceed=baixo,requir=baixo
6;author=baixo,pool=alto;2;4;data=baixo,particular=baixo,proceed=baixo,univers british columbia=baixo
6;come=baixo,pool=alto;2;5;british=baixo,british columbia vancouv=baixo,conclus=baixo,order=baixo,univers british columbia=baixo
6;map=baixo,zhang=alto;2;3;assum=baixo,data=baixo,univers british columbia=baixo
6;depart comput=baixo,publish=baixo,vancouv=baixo;3;4;columbia=baixo,conclus=baixo,step=baixo,vancouv canada=baixo
6;describ=baixo,publish=baixo,vancouv=baixo;3;2;british columbia=baixo,pool=alto
6;depart comput=baixo,independ=baixo,pool=alto;3;2;issu=baixo,univers british columbia=baixo
6;david=baixo,issu=baixo,pool=alto;3;2;canada=baixo,pool=alto
6;columbia vancouv=baixo,graph=baixo;2;2;posterior=baixo,vancouv=baixo
